"LibPath","Version","Packages"
"/usr/local/lib/R/site-library","0.7.1","polyCub"
"/usr/local/lib/R/site-library","1.10-0","polyclip"
"/usr/local/lib/R/site-library","1.0.0","praise"
"/usr/local/lib/R/site-library","0.2.2","prettymapr"
"/usr/local/lib/R/site-library","1.0.2","prettyunits"
"/usr/local/lib/R/site-library","3.4.1","processx"
"/usr/local/lib/R/site-library","2018.04.18","prodlim"
"/usr/local/lib/R/site-library","1.2.2","progress"
"/usr/local/lib/R/site-library","1.0.1","promises"
"/usr/local/lib/R/site-library","1.0.0","proto"
"/usr/local/lib/R/site-library","1.3.0","ps"
"/usr/local/lib/R/site-library","0.3.2","purrr"
"/usr/local/lib/R/site-library","2.7","qcc"
"/usr/local/lib/R/site-library","1.5-7","quadprog"
"/usr/local/lib/R/site-library","0.4-15","quantmod"
"/usr/local/lib/R/site-library","5.51","quantreg"
"/usr/local/lib/R/site-library","0.9-11","rJava"
"/usr/local/lib/R/site-library","4.6-14","randomForest"
"/usr/local/lib/R/site-library","1.4.2","randomizeR"
"/usr/local/lib/R/site-library","3.0-2","raster"
"/usr/local/lib/R/site-library","1.3.1","readr"
"/usr/local/lib/R/site-library","1.3.1","readxl"
"/usr/local/lib/R/site-library","0.1.6","recipes"
"/usr/local/lib/R/site-library","0.05","regtest"
"/usr/local/lib/R/site-library","1.0.1","rematch"
"/usr/local/lib/R/site-library","0.3.0","reprex"
"/usr/local/lib/R/site-library","1.4.3","reshape2"
"/usr/local/lib/R/site-library","1.4-4","rgdal"
"/usr/local/lib/R/site-library","0.5-1","rgeos"
"/usr/local/lib/R/site-library","0.5.16","rio"
"/usr/local/lib/R/site-library","0.6","riverplot"
"/usr/local/lib/R/site-library","0.2.20","rjson"
"/usr/local/lib/R/site-library","0.4.0","rlang"
"/usr/local/lib/R/site-library","1.15","rmarkdown"
"/usr/local/lib/R/site-library","5.1-3.1","rms"
"/usr/local/lib/R/site-library","0.2.5","rosm"
"/usr/local/lib/R/site-library","4.1-15","rpart"
"/usr/local/lib/R/site-library","3.0.8","rpart.plot"
"/usr/local/lib/R/site-library","0.10","rstudioapi"
"/usr/local/lib/R/site-library","0.3.4","rvest"
"/usr/local/lib/R/site-library","0.2.1","rvg"
"/usr/local/lib/R/site-library","2.5-1","sandwich"
"/usr/local/lib/R/site-library","1.0.0","scales"
"/usr/local/lib/R/site-library","0.3-41","scatterplot3d"
"/usr/local/lib/R/site-library","0.4-1","selectr"
"/usr/local/lib/R/site-library","0.7-7","sf"
"/usr/local/lib/R/site-library","1.1-4","sfsmisc"
"/usr/local/lib/R/site-library","1.4.4","shape"
"/usr/local/lib/R/site-library","1.3.2","shiny"
"/usr/local/lib/R/site-library","0.1-45","slam"
"/usr/local/lib/R/site-library","2.4","sna"
"/usr/local/lib/R/site-library","0.11.0","snakecase"
"/usr/local/lib/R/site-library","0.4-3","snow"
"/usr/local/lib/R/site-library","1.84-6.1","snowfall"
"/usr/local/lib/R/site-library","0.1.7","sourcetools"
"/usr/local/lib/R/site-library","1.3-1","sp"
"/usr/local/lib/R/site-library","1.60-1","spatstat"
"/usr/local/lib/R/site-library","1.4-0","spatstat.data"
"/usr/local/lib/R/site-library","1.13-0","spatstat.utils"
"/usr/local/lib/R/site-library","0.7-1","stabledist"
"/usr/local/lib/R/site-library","4.3.0","statnet.common"
"/usr/local/lib/R/site-library","1.4.3","stringi"
"/usr/local/lib/R/site-library","1.4.0","stringr"
"/usr/local/lib/R/site-library","1.17.0","surveillance"
"/usr/local/lib/R/site-library","3.3","sys"
"/usr/local/lib/R/site-library","1.3-2","tabplot"
"/usr/local/lib/R/site-library","1.5","tensor"
"/usr/local/lib/R/site-library","2.2.1","testthat"
"/usr/local/lib/R/site-library","2.1.3","tibble"
"/usr/local/lib/R/site-library","0.8.3","tidyr"
"/usr/local/lib/R/site-library","0.2.5","tidyselect"
"/usr/local/lib/R/site-library","1.2.1","tidyverse"
"/usr/local/lib/R/site-library","3043.102","timeDate"
"/usr/local/lib/R/site-library","0.3","timeROC"
"/usr/local/lib/R/site-library","3042.102","timeSeries"
"/usr/local/lib/R/site-library","0.9","timeline"
"/usr/local/lib/R/site-library","1.9.4","timereg"
"/usr/local/lib/R/site-library","0.15","tinytex"
"/usr/local/lib/R/site-library","0.7-6","tm"
"/usr/local/lib/R/site-library","2.4-2","treemap"
"/usr/local/lib/R/site-library","0.10-47","tseries"
"/usr/local/lib/R/site-library","1.1-4","ucminf"
"/usr/local/lib/R/site-library","0.6-4","units"
"/usr/local/lib/R/site-library","1.3-0","urca"
"/usr/local/lib/R/site-library","1.1.4","utf8"
"/usr/local/lib/R/site-library","0.1-2","uuid"
"/usr/local/lib/R/site-library","0.2.0","vctrs"
"/usr/local/lib/R/site-library","0.5.1","viridis"
"/usr/local/lib/R/site-library","0.3.0","viridisLite"
"/usr/local/lib/R/site-library","0.4","whisker"
"/usr/local/lib/R/site-library","2.1.2","withr"
"/usr/local/lib/R/site-library","0.9","xfun"
"/usr/local/lib/R/site-library","0.6.1","xlsx"
"/usr/local/lib/R/site-library","0.6.1","xlsxjars"
"/usr/local/lib/R/site-library","1.2.2","xml2"
"/usr/local/lib/R/site-library","1.8-4","xtable"
"/usr/local/lib/R/site-library","0.11-2","xts"
"/usr/local/lib/R/site-library","2.2.0","yaml"
"/usr/local/lib/R/site-library","0.1.0","zeallot"
"/usr/local/lib/R/site-library","2.0.4","zip"
"/usr/local/lib/R/site-library","1.8-6","zoo"
"/usr/lib/R/library","2.23-15","KernSmooth"
"/usr/lib/R/library","7.3-51.4","MASS"
"/usr/lib/R/library","1.2-17","Matrix"
"/usr/lib/R/library","3.6.1","base"
"/usr/lib/R/library","1.3-22","boot"
"/usr/lib/R/library","7.3-15","class"
"/usr/lib/R/library","2.1.0","cluster"
"/usr/lib/R/library","0.2-16","codetools"
"/usr/lib/R/library","3.6.1","compiler"
"/usr/lib/R/library","3.6.1","datasets"
"/usr/lib/R/library","0.8-71","foreign"
"/usr/lib/R/library","3.6.1","grDevices"
"/usr/lib/R/library","3.6.1","graphics"
"/usr/lib/R/library","3.6.1","grid"
"/usr/lib/R/library","0.20-38","lattice"
"/usr/lib/R/library","3.6.1","methods"
"/usr/lib/R/library","1.8-28","mgcv.1"
"/usr/lib/R/library","3.1-140","nlme"
"/usr/lib/R/library","7.3-12","nnet"
"/usr/lib/R/library","3.6.1","parallel"
"/usr/lib/R/library","4.1-15","rpart.1"
"/usr/lib/R/library","7.3-11","spatial"
"/usr/lib/R/library","3.6.1","splines"
"/usr/lib/R/library","3.6.1","stats"
"/usr/lib/R/library","3.6.1","stats4"
"/usr/lib/R/library","2.44-1.1","survival"
"/usr/lib/R/library","3.6.1","tcltk"
"/usr/lib/R/library","3.6.1","tools"
"/usr/lib/R/library","3.6.1","utils"
